TIC ID,TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,# PCs,Source,RA (degrees),Dec (degrees),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Epoch (BJD),Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Sectors,Comments,Date Created,Date Modified
231663901,101.01,4,5,5,5,4,5,4,PC,CP,12.352,0.034,1,spoc,318.736981,-55.87178,,,,,2458326.009,0.000339,1.430401,0.000032,1.638765,0.026081,22.436284,0.263814,20452.53168,242.95233,13.145008,0.144216,1193.379561,1499.044062,0.887868,464.73199,,5783,188,4.3443699,,1.1348701,1.1348701,1,,9/5/2018,3/11/2019
149603524,102.01,5,5,5,5,5,5,5,PC,CP,9.7159996,0.018,1,qlp,87.139825,-63.988332,-14.794,1.146,25.107,0.908,2458326.077,0.00013,4.4121,0.00001,3.702,0.017,14.39227,0.000081,13168.3,0.074419,16.3878,1.24769,569.664,1361,524,171.78795,13.0779,6391,70,4.73,0.11,1.15229,0.15044101,4,WASP-62,9/5/2018,2/6/2019
336732616,103.01,5,5,5,5,5,5,5,PC,CP,11.464,0.018,1,spoc,312.457486,-24.428696,8.363,2.086,14.693,0.976,2458327.253,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,0.800299,316.73993,,5649,188,4.3401499,0.73179102,1.1210901,0.40426999,1,HATS-3,9/5/2018,11/30/2018
231670397,104.01,5,5,5,5,5,5,5,PC,CP,9.8479996,0.018,1,spoc,319.949694,-58.148931,10.639,0.838,-12.043,0.947,2458327.673,0.000842,4.087445,0.000239,5.59014,0.066407,3.900662,0.05299,3586.196984,48.80403,12.652102,0.221452,1672.217546,1630.958624,0.808662,363.38852,64.919899,5989,192,3.6296,0.55914402,2.6644199,0.72582698,1,WASP-73,9/5/2018,11/30/2018
144065872,105.01,5,5,5,5,5,5,5,PC,CP,9.4799995,0.02,1,spoc,337.457806,-48.003098,93.626,0.828,-9.298,1.194,2458326.506,0.000156,2.184659,0.000023,2.869426,0.012752,12.92819,0.050966,11836.69122,46.940147,12.514586,0.056125,985.883704,1429.144596,0.886027,140.79532,9.9965401,5745,189,4.2204599,0.32048899,1.30241,0.193427,1,WASP-95,9/5/2018,11/30/2018
38846515,106.01,5,5,5,5,5,5,5,PC,CP,10.307,0.019,1,spoc,68.959813,-64.027039,11.062,0.364,-1.559,1.069,2458412.227,0.000487,2.849446,0.000095,3.828487,0.034519,8.135591,0.073765,7465.152575,67.93786,9.144771,0.065906,1311.274914,1534.769598,114.41741,331.84042,,6468,198,4.0829501,0.437686,1.7275,0.335922,4,WASP-100b,9/5/2018,2/8/2019
92352620,107.01,5,5,5,5,5,5,5,PC,CP,9.6389999,0.019,1,spoc,313.783235,-34.135745,24.868,1.145,-46.046,0.837,2458328.299,0.000307,3.950054,0.000088,4.557506,0.023461,14.207005,0.082188,12999.89718,75.69489,18.775574,0.097373,1098.209548,1468.219722,0.8602,198.60658,19.2318,6072.6001,54,4.0999999,0.11,1.79687,0.28603101,1,WASP-94A (planet host),9/5/2018,11/30/2018
289793076,108.01,5,5,5,5,5,5,5,PC,CP,13.096,0.017,1,spoc,316.961477,-26.096719,2.775,2.148,-11.936,2.122,2458328.085,0.000922,3.043839,0.000202,2.660993,0.073265,26.534793,0.619302,24143.22224,570.23517,13.999502,0.329885,400.955287,1141.284018,0.820267,524.46899,,5428,185,4.4142199,2.00406,0.99997097,0.99997097,1,HATS-13,9/5/2018,11/30/2018
29344935,109.01,4,5,5,5,4,5,4,PC,CP,13.18,0.019,1,spoc,313.215475,-25.687374,2.337,2.113,-9.225,2.113,2458326.128,0.001296,2.766737,0.000254,2.568721,0.112022,17.172409,0.532229,15691.95117,490.08105,11.661768,0.527223,433.482954,1163.758204,0.834164,526.01501,,5321,184,4.4362402,2.0039201,0.959997,0.959997,1,,9/5/2018,3/11/2019
281459670,110.01,5,5,5,5,5,5,5,PC,CP,11.632,0.018,1,spoc,5.618531,-59.942589,-22.409,1.237,-5.102,1.237,2458328.04,0.000446,3.174305,0.000044,2.723339,0.030983,17.075061,0.164396,15603.6931,151.40271,13.668801,0.12625,662.491006,1293.94181,100.35208,390.66101,,5750.3999,76,3.5699999,0.12,3.3408599,0.613051,"1,2",HATS-30,9/5/2018,11/30/2018
355703913,111.01,4,5,5,5,4,5,4,PC,CP,13.129,0.018,1,spoc,0.774486,-62.469317,1.875,3.301,5.381,3.301,2458326.106,0.001084,2.106098,0.000069,1.574766,0.083967,13.580831,0.57385,12430.50297,528.39557,16.683676,14.132685,720.255153,1321.269297,30.581211,,,5403,185,,,,,"1,2",HATS-34,9/5/2018,3/11/2019
