tid,harmonic,sector,period,zeta,deltchi2,kurtosis,duration,tau0,depth
52357,10.0,11,5.47964,16837.0,155531.0,14.9333,0.035069696,1600.049734799199,0.0024021268
91961,1.0,11,5.28236,15692.7,956.462,85.5571,0.04225888,1602.830531431742,0.023385793
120016,15.0,11,2.44784,2681.7,1.22e7,3.90343,0.03002683733333326,1600.0345695926437,0.02696535
627436,9.0,5,5.20979,8710.17,12284.3,5.96453,0.05209789999999997,1441.1949888486486,0.008238196
1029392,3.0,4,1.8677,17201.9,28396.3,17.6106,0.037354,1412.1938033318627,0.004656613
1045298,2.0,4,1.46332,23717.2,12968.5,26.6505,0.036583,1411.1495035436667,0.00803566
1129237,9.0,4,4.59532,23651.7,150859.0,17.1789,0.028593102222222222,1413.2202729946252,0.0074978173
1129452,20.0,4,7.13995,5915.49,12811.3,5.81019,0.03855572999999999,1417.16322998626,0.0014671683
1190662,4.0,8,1.77631,4793.34,1301.61,17.6284,0.02753280500000002,1517.7079937621477,0.011703074
1230647,2.0,8,2.37946,27313.1,17278.6,41.8738,0.0356919,1517.565016034187,0.007387936
1450518,1.0,5,0.333717,7253.43,4.43e6,5.78428,0.03403913400000003,1438.2534992221545,0.13969296
1630438,12.0,10,4.68659,2834.89,48707.7,3.80081,0.03749272000000002,1571.4443261575855,0.0050042868
2353789,3.0,8,5.61555,4205.02,855.834,19.8517,0.0449244,1522.5121365925831,0.0061560273
2372579,1.0,13,9.92152,25846.8,2305.22,216.422,0.05952912,1664.7902804812543,0.0121744275
3921749,1.0,3,5.61087,33922.6,56619.8,134.766,0.08977392000000001,1388.6819517915405,0.047557414
4723156,1.0,4,9.48969,15187.1,48582.8,172.821,0.05693814,1413.379946286846,0.17096499
4742129,5.0,4,10.3592,48979.3,753963.0,30.6578,0.07044255999999997,1410.9851860480785,0.12561911
6400274,5.0,13,3.02841,30139.3,2.38e6,25.6854,0.03512955599999999,1659.9432081903087,0.049259305
7211118,2.0,7,2.89226,36522.9,19263.2,49.6262,0.03759938,1492.566506671484,0.0052911937
7695666,1.0,4,8.77763,31757.1,4515.26,136.495,0.052665779999999995,1411.6882210315573,0.010638118
7724421,7.0,5,4.48411,17387.2,49736.9,9.30207,0.03971640285714287,1440.709998447602,0.0064670444
8963901,7.0,2,3.37324,42446.4,1.25e6,16.4079,0.034696182857142856,1356.2358008384363,0.023419619
8989778,7.0,2,4.28965,17201.6,58889.3,9.17467,0.04167088571428571,1357.7983648931079,0.012697637
9053429,1.0,2,12.9622,17229.8,614.369,130.776,0.0777732,1354.5313664897237,0.07586661
9054370,2.0,2,3.19006,45026.4,76876.2,62.6012,0.03828072000000001,1357.1357410320568,0.005852014
9070070,4.0,2,0.962911,10751.4,967829.0,6.70435,0.037072073499999934,1355.0938865940147,0.027071238
9146275,1.0,2,11.2014,12216.9,702.881,163.28,0.0672084,1363.483227209592,0.0006092638
9172417,6.0,5,1.47114,6897.84,380356.0,5.192,0.03285545999999996,1438.046199715318,0.052310407
9380768,3.0,5,2.4332,34935.0,715785.0,31.1032,0.04379759999999999,1439.5372187546016,0.056533754
9433212,1.0,5,5.01386,3071.4,145.074,37.0528,0.07019404000000001,1440.1578225751314,0.0057149976
9632550,17.0,2,3.36313,8249.67,7.75e6,4.80801,0.03758792352941177,1356.224492123445,0.021839797
9843991,2.0,4,1.42766,23843.7,29596.7,23.8162,0.038546819999999996,1412.2791439347034,0.002389282
9845586,21.0,4,3.78119,7861.52,4.9e6,5.67346,0.03385065333333329,1414.0225129958455,0.16110817
9886075,21.0,4,3.7125,4536.68,1.86e6,4.31238,0.03535714285714283,1412.8679668095197,0.039785385
9945183,2.0,4,3.11493,18514.2,169602.0,54.3706,0.03737916000000001,1413.304089892657,0.05190578
10756751,1.0,3,3.4899,14020.7,4483.9,20.75,0.0418788,1388.0015367906778,0.003559351
10838695,3.0,3,6.91855,32086.6,15571.8,69.8445,0.0415113,1391.2911734495287,0.011996031
11002748,5.0,5,3.89375,22335.2,8980.99,17.9931,0.03738000000000001,1439.9757401426652,0.012574315
11546041,8.0,3,3.2545,7463.31,42473.7,6.06087,0.03905399999999996,1387.962552367607,0.01797548
11598102,12.0,3,5.07523,7462.89,3.29e6,5.40172,0.03552661000000001,1390.0246670158954,0.048984528
11756637,1.0,6,4.30613,17096.2,23864.6,90.4756,0.06889807999999999,1469.142081187991,0.14337736
12158853,9.0,6,5.6805,26101.3,255654.0,21.7318,0.03660766666666666,1469.5571919180284,0.091251224
12631605,7.0,4,4.96066,14464.4,128228.0,16.6359,0.03685061714285715,1411.2678206380047,0.017662227
12723924,2.0,2,10.9979,24197.8,4716.65,112.301,0.0659874,1363.5751067368376,0.0035585463
13062255,5.0,5,8.25819,38806.1,19969.0,42.421,0.036336036,1442.369408886597,0.0142021775
13068361,12.0,2,3.68845,3768.66,4.48e6,3.92702,0.037499241666666724,1356.1983584083275,0.050080866
13070701,9.0,5,3.72676,8741.71,88935.0,5.29447,0.04058027555555559,1441.5309344302034,0.007421106
13135572,10.0,5,1.9918,9877.64,2.61e7,6.52916,0.033860600000000025,1439.4704983380034,0.096661925
13325340,11.0,5,4.91212,38541.2,154782.0,15.7052,0.03393828363636363,1438.1555955710855,0.05868891
13345143,5.0,5,3.36201,18215.8,991702.0,10.6328,0.03496490400000001,1438.3370724959477,0.020530611
13738984,4.0,8,1.1078,4761.0,16987.6,6.6883,0.03212619999999998,1517.5029544009437,0.004174024
13957444,2.0,5,7.48105,78254.3,24572.3,100.739,0.05236735000000001,1445.1834224888576,0.006879121
14231596,8.0,5,3.82875,23897.1,809551.0,17.0721,0.05360249999999997,1441.7074377654321,0.011934042
14307980,7.0,8,3.14099,18051.2,2.32e6,17.5736,0.035897028571428576,1517.682777307196,0.1427427
18914916,1.0,7,11.2876,22769.0,566.485,151.531,0.0903008,1494.1206909064338,0.008555114
18915591,1.0,7,3.49339,14535.1,848.342,82.8967,0.0698678,1492.7831324159188,0.0029910803
19122666,13.0,7,4.23707,5629.02,17183.7,6.62568,0.04302255692307686,1493.1288877623228,0.002076149
19193162,3.0,7,8.53811,7861.85,15014.9,18.3785,0.03984451333333333,1497.6375938998385,0.0048577785
20095466,16.0,5,3.38958,3979.74,2754.05,7.97865,0.022455967500000017,1441.3645108914054,0.0016900599
20176492,2.0,5,4.44245,7716.6,598.311,31.2338,0.03998205,1439.8333010728686,0.004457742
21184505,1.0,7,5.17776,10288.7,655.3,101.001,0.06213312,1495.500924231354,0.0020709038
