TID,Peak_Zeta,Guessed_Period
234512384,1.40E-07,0.334106892
234342096,7.71E-12,0.354235142
394086688,1.10E-05,6.894375324
147286016,3.38E-12,0.326673418
348762368,3.16E-09,1.845417976
50345700,6.06E-10,11.46011353
121421384,4.25E-13,0.337520957
92709864,5.72E-15,4.626832485
389865536,6.98E-14,10.21515656
38633244,1.18E-12,2.934995174
350155904,2.09E-09,0.693183184
141755408,1.02E-08,0.381697178
355365312,4.99E-13,0.342279464
38508528,5.97E-14,3.923716068
60112432,3.17E-05,0.346931577
231833968,2.94E-14,3.333554745
300326784,2.31E-13,0.603830934
229808112,6.64E-08,0.362175047
167344576,2.94E-11,1.293957949
176956384,2.23E-14,8.144742012
55501732,7.66E-15,0.706244111
350559456,6.82E-13,2.791853905
197647632,9.30E-13,5.931077003
231850080,4.50E-11,3.119083405
261334800,2.32E-09,14.93497849
30852856,5.02E-14,6.821225643
141944480,8.07E-11,6.152586937
33877176,3.87E-08,1.124913096
394595936,2.16E-07,0.762010992
29829700,3.43E-13,4.504330158
55452080,4.31E-14,9.317296982
262922304,1.09E-13,3.680465221
231831136,7.99E-08,0.501846492
30401300,2.88E-14,8.880629539
389526752,3.92E-09,0.361993968
38586708,2.09E-14,14.35176182
41030784,2.01E-08,1.308270097
89357000,3.46E-13,0.639568865
152889184,1.79E-11,8.560904503
126657456,8.85E-09,2.34168911
79111496,0.000473915,9.529313087
204494880,1.21E-11,0.329846591
139990400,5.52E-08,0.806035399
260004560,2.08E-14,14.94244766
38843964,1.60E-13,6.733123779
294272064,9.77E-09,1.075772524
206287104,5.48E-12,0.376892865
41228236,5.67E-14,0.277492613
402046208,1.84E-13,4.415874481
25155510,3.17E-14,8.327300072
231712880,1.03E-13,6.795127869
32089856,3.20E-10,14.75682831
214710752,5.28E-09,6.771386623
238177152,3.59E-08,1.023988962
149159040,5.86E-14,11.5041275
161174432,1.50E-14,14.35893917
421937536,9.07E-15,9.716958046
394104640,1.22E-08,3.751688004
262817040,1.03E-08,0.341311038
52075080,7.50E-12,12.36915493
350294848,2.73E-13,0.331223786
350479456,2.47E-14,0.250208437
260271200,8.09E-13,1.04886198
406322880,2.18E-09,0.32656455
92451816,1.03E-12,4.991347313
121422600,8.22E-13,12.75435352
269765056,1.63E-09,0.369676232
44626204,2.46E-14,0.688692093
277752000,1.67E-08,0.370786935
394008320,0.000210634,6.850848675
425906784,3.14E-08,3.405434608
126890216,4.65E-12,0.337127417
382067232,3.50E-14,0.347915947
32068756,6.32E-11,0.25
278897600,4.67E-13,2.477390528
237886992,1.86E-09,4.504330158
306893824,2.12E-09,0.626695633
348759904,3.09E-15,11.3271904
53991812,0.000281049,9.219977379
52308760,8.35E-11,0.356485754
260606288,7.77E-11,0.443173349
115191032,8.10E-13,0.384442508
115106264,1.26E-13,7.150668621
421919168,5.59E-08,0.371591151
141865872,9.62E-07,0.331334203
212319200,2.19E-05,1.37855947
147269344,3.89E-08,0.36685288
206534864,2.20E-10,1.244672537
355637632,1.19E-11,0.329132676
140599280,4.27E-13,0.685828567
31741586,5.98E-09,10.8703537
441203776,1.07E-12,0.278419137
129637152,3.27E-14,10.19304657
260188640,1.40E-11,7.851510048
29495314,2.43E-11,14.75928879
391904672,1.54E-08,1.365070105
167797584,8.41E-09,2.318388939
277774784,2.01E-05,3.507976055
277772928,6.48E-14,0.333884209
281562496,2.02E-08,10.74606228
38698084,9.37E-07,0.684686422
266584816,3.23E-08,0.348089933
325220064,2.29E-14,8.70043087
306672032,2.51E-13,0.780390441
370324064,1.28E-11,4.472164154
277300224,2.23E-10,6.42184782
92442496,2.54E-15,6.03075695
52204644,4.53E-14,0.332274318
294667680,6.31E-13,6.379178047
278053120,6.17E-09,0.584619343
231077888,8.42E-09,1.204469323
308398784,1.07E-08,1.032902122
167363488,1.47E-09,0.378845185
267082624,7.16E-10,0.356070101
260371008,3.42E-09,4.392385483
141423632,3.26E-11,5.460493565
117518208,3.35E-09,9.658830643
167207568,5.14E-09,3.990989447
53976940,1.05E-11,8.6801548
238192384,7.41E-10,0.325098306
232060128,2.19E-06,1.017863393
234300784,1.35E-09,0.326401293
290030176,2.05E-08,0.982854426
259862352,0.000141308,9.454958916
220488144,2.69E-11,0.322615385
394275936,1.19E-09,11.42197609
263013984,6.68E-11,1.773649216
234286272,3.12E-08,0.592664003
229806016,2.17E-09,0.334385425
61710096,6.12E-14,8.98634243
381853824,1.26E-08,1.357582808
234512400,0.000271707,11.078866
355638112,1.56E-11,2.16309309
281779232,3.55E-05,6.613012314
141606064,9.83E-06,0.341880411
279571552,1.34E-13,12.08791161
38828908,7.97E-14,1.842959046
364306304,2.82E-14,0.623777866
99822584,1.66E-08,0.325044125
232070592,1.76E-11,0.351471126
441420000,1.72E-10,12.00159073
389925856,6.45E-08,3.603981256
140630128,2.11E-10,0.340345383
350560960,7.47E-14,1.296764612
410211712,1.27E-08,7.433814526
307088640,3.21E-08,0.348089933
150361760,1.02E-12,0.333606124
38697444,6.44E-06,0.348961264
91451320,6.61E-11,0.368568897
29762012,3.71E-09,0.378403455
278613184,4.92E-14,0.595535517
394134592,1.42E-09,1.5775491
294781536,1.33E-09,3.125327587
388129824,4.91E-12,0.971292496
350297824,7.40E-09,9.736410141
206586976,0.000332807,0.387530386
206560272,7.74E-14,5.847646713
41331820,9.20E-05,4.962316036
300709920,5.98E-13,4.084526539
8196402,4.47E-13,9.540435791
139720640,1.68E-09,0.327982724
238199776,7.82E-13,2.042563915
149124544,8.94E-14,9.109998703
238853888,6.74E-10,0.608985424
350332000,4.06E-12,14.56380367
382257280,2.58E-14,7.10078907
25153544,5.74E-11,4.478877544
402047040,2.64E-10,3.7304883
266587008,7.14E-13,10.48772907
31635646,4.75E-09,0.692836702
79305440,4.20E-10,0.37613982
52121796,1.93E-05,1.642203808
143850432,7.42E-09,0.985807419
431479584,1.66E-11,7.440013409
293272928,1.51E-10,5.933054447
260193216,3.84E-13,0.266834229
316967488,2.32E-08,0.32428655
316992288,1.06E-10,9.564317703
159837824,8.86E-10,2.196882248
204524960,7.13E-10,5.652168274
31998032,1.68E-11,0.340856314
237917072,2.38E-10,0.850474417
126606112,2.73E-09,0.308728069
167006496,6.48E-07,0.334664196
349055840,4.74E-09,0.54938215
273603968,6.60E-09,14.88279819
350619936,4.51E-14,5.816541672
140039424,1.23E-14,4.762975216
267210448,4.82E-08,0.339891911
149573088,1.59E-12,7.269633293
60371704,2.89E-14,2.000117302
139845584,1.52E-10,1.358941078
238831200,5.64E-11,9.135847092
150273248,2.66E-07,1.064358711
139453344,7.23E-09,2.233059168
267041904,2.47E-05,0.701317668
31852880,1.51E-07,0.314021349
261155056,1.70E-13,3.718693733
350344160,1.95E-14,3.743567944
177258736,9.21E-06,1.327599525
141805488,3.51E-12,8.269212723
389050400,2.22E-12,4.957355976
126890488,5.32E-15,6.893226624
232083920,7.66E-09,1.374429941
161210016,6.21E-08,2.039162397
403288832,6.21E-14,0.375513434
382222720,1.38E-07,0.357258976
206498288,5.32E-14,1.79805553
389126400,3.03E-10,1.900035262
201226480,2.67E-08,0.451975346
139267280,1.32E-13,3.902194738
278729408,9.24E-12,6.892077446
350342048,9.25E-14,8.464429855
177286272,2.54E-06,0.370231181
278564544,5.35E-10,6.783812523
152221984,8.85E-06,4.455053806
38608864,6.02E-14,3.824926138
51912440,5.35E-11,0.343765914
358106112,2.69E-13,1.528121352
389758656,1.28E-10,6.284204006
231862016,2.00E-10,0.368999124
89334192,9.06E-14,9.726678848
219155856,4.10E-06,1.314827919
177116480,6.97E-12,9.996208191
350581056,6.77E-14,11.3271904
147419360,2.02E-08,1.70922339
260188544,6.23E-12,10.54908657
289914016,3.09E-08,3.835778952
238815664,1.80E-09,0.468699098
99839688,4.61E-07,0.342051387
259863360,8.89E-06,0.955079257
309758240,4.08E-10,4.922775745
278823328,1.55E-09,4.603755951
141124144,3.36E-08,0.549931824
97432872,3.52E-12,0.370601594
177258208,1.28E-08,3.790024757
270565376,1.89E-11,10.69068336
29778240,8.24E-10,1.424810886
32052060,1.73E-08,0.316069126
206360832,2.91E-13,14.35415363
139113392,7.25E-11,1.777200103
388180000,1.11E-10,0.654776752
406243648,9.64E-08,0.65904665
142082944,6.70E-12,0.250667572
214874944,5.22E-11,0.329242408
374944736,2.46E-14,0.317335933
141471760,7.06E-10,0.373889744
211401600,1.46E-09,7.037168503
278866208,7.46E-10,4.513347626
231636688,1.07E-09,0.953329921
259784880,3.02E-13,11.96364594
231810448,3.18E-11,4.462485313
31963428,2.12E-14,3.660278082
279834528,7.73E-08,0.336341709
211432416,3.07E-11,6.071095943
382420480,5.76E-09,12.01159573
253917344,1.70E-11,8.436261177
