rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
1,1000.01,1000,50365310,50365310.01,1,,07h29m25.85s,112.357708,,,-12d41m45.46s,-12.69596,,,-5.964,0.085,0.085,0,1,-0.076,0.072,0.072,0,1,2458493.384,0.00387,0.00387,0,1,2.17153,0.00068,0.00068,0,1,1.937,0.23,0.23,0,1,720,1.40612,1.40612,0,1,5.5648,0.338744,0.338744,0,1,6563.75,,,,,2507,,,,,9.604,0.013,0.013,0,1,485.735,11.9515,11.9515,0,1,10249,264.7,264.7,0,1,4.19,0.07,0.07,0,1,2.17,0.07,0.07,0,1,3/26/2019 13:55,5/20/2020 16:00
2,1001.01,1001,88863718,88863718.01,1,,08h10m19.31s,122.580465,,,-05d30m49.87s,-5.513852,,,-4.956,0.102,0.102,0,1,-15.555,0.072,0.072,0,1,2458492.839,0.00356,0.00356,0,1,1.93217,0.00054,0.00054,0,1,3.447,0.243,0.243,0,1,980,0.698388,0.698388,0,1,5.80204,0.318932,0.318932,0,1,5753,,,,,2426,,,,,9.42344,0.006,0.006,0,1,295.862,5.91,5.91,0,1,7070,126.4,126.4,0,1,4.03,0.09,0.09,0,1,2.01,0.09,0.09,0,1,3/26/2019 13:55,5/20/2020 16:00
3,1002.01,1002,124709665,124709665,1,,06h58m54.47s,104.726966,,,-10d34m49.64s,-10.580455,,,-1.462,0.206,0.206,0,1,-2.249,0.206,0.206,0,1,2458492.602,0.00113,0.00113,0,1,1.86722,0.00016,0.00016,0,1,1.926,0.122,0.122,0,1,1630,708.41,708.41,0,1,51.1665,,,0,1,38023.4,,,,,3890,,,,,9.299501,0.058,0.058,0,1,943.109,106.333,106.333,0,1,8924,124,124,0,1,,,,0,1,5.73,,,0,1,3/26/2019 13:55,5/20/2020 16:00
4,1003.01,1003,106997505,106997505,1,FP,07h22m14.39s,110.559945,,,-25d12m25.26s,-25.207017,,,-0.939,0.041,0.041,0,1,1.64,0.055,0.055,0,1,2458493.396,0.00535,0.00535,0,1,2.74323,0.00108,0.00108,0,1,3.167,0.642,0.642,0,1,383.410004,0.781988,0.781988,0,1,,,,0,1,1177.359985,,,,,1631,,,,,9.3003,0.037,0.037,0,1,7728.17,1899.57,1899.57,0,1,5388.5,567,567,0,1,4.15,1.64,1.64,0,1,,,,0,1,3/26/2019 13:55,12/17/2019 10:00
5,1004.01,1004,238597883,238597883,1,,08h08m42.77s,122.178195,,,-48d48m10.12s,-48.802811,,,-4.496,0.069,0.069,0,1,9.347,0.062,0.062,0,1,2458493.512,0.00653,0.00653,0,1,3.57491,0.00146,0.00146,0,1,2.576,0.346,0.346,0,1,500,1.07966,1.07966,0,1,4.75276,0.279769,0.279769,0,1,2929.87,,,,,2049,,,,,9.1355,0.006,0.006,0,1,356.437,4.6175,4.6175,0,1,9219,171.1,171.1,0,1,4.14,0.07,0.07,0,1,2.15,0.06,0.06,0,1,3/26/2019 13:55,5/20/2020 16:00
6,1005.01,1005,169904935,169904935,1,FP,08h02m49.15s,120.704811,,,-11d06m05.45s,-11.101513,,,-15.7,1.6,1.6,0,1,-34.7,1.5,1.5,0,1,2458492.555,0.00106,0.00106,0,1,4.55072,0.00033,0.00033,0,1,2.599,0.284,0.284,0,1,3620,2.1771,2.1771,0,1,6.54449,0.45717,0.45717,0,1,254.05,,,,,1112,,,,,9.085,0.019,0.019,0,1,119.097,,,0,1,5613,179.9,179.9,0,1,,,,0,1,1.09,0.07,0.07,0,1,3/26/2019 13:55,5/20/2020 16:00
7,1006.01,1006,156115721,156115721,1,,08h17m26.22s,124.359239,,,-27d16m24.68s,-27.273521,,,-29.1,2.6,2.6,0,1,-6.8,2.2,2.2,0,1,2458493.677,0.00254,0.00254,0,1,2.50443,0.0005,0.0005,0,1,3.185,0.615,0.615,0,1,1250,2.41997,2.41997,0,1,6.08324,5.90832,5.90832,0,1,6874.38,,,,,2536,,,,,9.2386,0.006,0.006,0,1,,,,0,1,6616,200,200,0,1,,,,0,1,1.53,1.49,1.49,0,1,3/26/2019 13:55,5/20/2020 16:00
8,1007.01,1007,65212867,65212867.01,1,,07h31m00.57s,112.752393,,,-04d27m48.09s,-4.463359,,,0.357,0.058,0.058,0,1,3.399,0.045,0.045,0,1,2458492.041,0.00107,0.00107,0,1,6.99823,0.00058,0.00058,0,1,4.314,0.471,0.471,0,1,2820,0.759823,0.759823,0,1,15.5416,0.788602,0.788602,0,1,1414.33,,,,,1708,,,,,8.87759,0.006,0.006,0,1,283.291,3.0025,3.0025,0,1,6596,139.2,139.2,0,1,3.71,0.09,0.09,0,1,2.7,0.13,0.13,0,1,3/26/2019 13:55,5/20/2020 16:00
9,1008.01,1008,440801822,440801822,1,FP,07h17m31.88s,109.382839,,,+13d23m42.79s,13.395219,,,-17.9,1.1,1.1,0,1,1.3,1,1,0,1,2458492.521,0.00579,0.00579,0,1,2.04936,0.00105,0.00105,0,1,2.234,0.401,0.401,0,1,249.5,0.564034,0.564034,0,1,1.71607,0.318238,0.318238,0,1,2107.050049,,,,,1887,,,,,8.9362,0.012,0.012,0,1,144.297,,,0,1,6858.5,584.599976,584.599976,0,1,4.2,1.9,1.9,0,1,0.99,0.18,0.18,0,1,3/26/2019 13:55,3/4/2020 12:58
10,1009.01,1009,107782586,107782586,1,,07h26m40.28s,111.667845,,,-24d27m43.6s,-24.462111,,,-3.297,0.319,0.319,0,1,4.849,0.358,0.358,0,1,2458492.253,0.00166,0.00166,0,1,1.96022,0.00026,0.00026,0,1,1.611,0.359,0.359,0,1,1420,31.2109,31.2109,0,1,,,,0,1,15070.9,,,,,3086,,,,,8.4331,0.028,0.028,0,1,866.147,172.097,172.097,0,1,8868.7,809.8,809.8,0,1,,,,0,1,,,,0,1,3/26/2019 13:55,5/20/2020 16:00
